step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,1218.5702612910245
1,3700.0,82516.8570261291,305312370.9966777,1218.5702612910245
2,3700.0,74387.02834964529,275232004.89368755,1218.5702612910245
3,3700.0,67070.18254080987,248159675.4009965,1218.5702612910245
4,3700.0,60485.02131285798,223794578.85757452,1218.5702612910245
5,3700.0,54558.37620770128,201865991.96849474,1218.5702612910245
6,3700.0,49224.39561306025,182130263.76832294,1218.5702612910245
7,3700.0,44423.81307788333,164368108.3881683,1218.5702612910245
8,3700.0,40103.2887962241,148382168.54602918,1218.5702612910245
9,3700.0,36214.8169427308,133994822.68810397,1218.5702612910245
10,3700.0,32715.192274586818,121046211.41597122,1218.5702612910245
11,3700.0,29565.53007325724,109392461.27105178,1218.5702612910245
12,3700.0,26730.834092060617,98904086.14062428,1218.5702612910245
13,3700.0,24179.607708983654,89464548.52323952,1218.5702612910245
14,3700.0,21883.5039642144,80968964.66759329,1218.5702612910245
15,3700.0,19817.01059392206,73322939.19751161,1218.5702612910245
16,3700.0,17957.166560658956,66441516.274438135,1218.5702612910245
17,3700.0,16283.306930722165,60248235.64367201,1218.5702612910245
18,3700.0,14776.833263779048,54674283.07598248,1218.5702612910245
19,3700.0,13421.006963530246,49657725.76506191,1218.5702612910245
20,3700.0,12200.763293306323,45142824.1852334,1218.5702612910245
21,3700.0,11102.543990104794,41079412.76338774,1218.5702612910245
22,3700.0,10114.146617223418,37422342.48372664,1218.5702612910245
23,3700.0,9224.58898163018,34130979.232031666,1218.5702612910245
24,3700.0,8423.987109596263,31168752.30550617,1218.5702612910245
25,3700.0,7703.445424765739,28502748.071633235,1218.5702612910245
26,3700.0,7054.957908418267,26103344.26114759,1218.5702612910245
27,3700.0,6471.319143705543,23943880.83171051,1218.5702612910245
28,3700.0,5946.044255464091,22000363.745217137,1218.5702612910245
29,3700.0,5473.296856046784,20251198.3673731,1218.5702612910245
30,3700.0,5047.824196571209,18676949.52731347,1218.5702612910245
31,3700.0,4664.89880304319,17260125.571259804,1218.5702612910245
32,3700.0,4320.265948867974,15984984.010811502,1218.5702612910245
33,3700.0,4010.096380110279,14837356.606408032,1218.5702612910245
34,3700.0,3730.943768228353,13804491.942444906,1218.5702612910245
35,3700.0,3479.7064175346204,12874913.744878095,1218.5702612910245
36,3700.0,3253.5928019102607,12038293.367067965,1218.5702612910245
37,3700.0,3050.0905478483373,11285335.027038848,1218.5702612910245
38,3700.0,2866.9385191926062,10607672.521012643,1218.5702612910245
39,3700.0,2702.1016934024483,9997776.265589058,1218.5702612910245
40,3700.0,2553.748550191306,9448869.635707833,1218.5702612910245
41,3700.0,2420.2307213012778,8954853.668814728,1218.5702612910245
42,3700.0,2300.0646753002525,8510239.298610935,1218.5702612910245
43,3700.0,2191.91523389933,8110086.365427521,1218.5702612910245
44,3700.0,2094.5807366384997,7749948.725562449,1218.5702612910245
45,3700.0,2006.979689103752,7425824.849683883,1218.5702612910245
46,3700.0,1928.138746322479,7134113.361393172,1218.5702612910245
47,3700.0,1857.1818978193332,6871573.021931533,1218.5702612910245
48,3700.0,1793.3207341665025,6635286.716416059,1218.5702612910245
49,3700.0,1735.845686878955,6422629.041452133,1218.5702612910245
50,3700.0,1684.1181443201615,6231237.133984597,1218.5702612910245
51,3700.0,1637.563356017248,6058984.417263818,1218.5702612910245
52,3700.0,1595.6640465446258,5903956.972215115,1218.5702612910245
53,3700.0,1557.9546680192657,5764432.271671283,1218.5702612910245
54,3700.0,1524.0162273464416,5638860.041181834,1218.5702612910245
55,3700.0,1493.4716307409,5525845.033741331,1218.5702612910245
56,3700.0,1465.9814937959122,5424131.527044876,1218.5702612910245
57,3700.0,1441.2403705454235,5332589.371018067,1218.5702612910245
58,3700.0,1418.9733596199835,5250201.430593939,1218.5702612910245
59,3700.0,1398.9330497870876,5176052.284212224,1218.5702612910245
60,3700.0,1380.8967709374813,5109318.052468681,1218.5702612910245
61,3700.0,1364.6641199728356,5049257.243899492,1218.5702612910245
62,3700.0,1350.0547341046545,4995202.516187222,1218.5702612910245
63,3700.0,1336.9062868232916,4946553.261246179,1218.5702612910245
64,3700.0,1325.0726842700649,4902768.93179924,1218.5702612910245
65,3700.0,1314.4224419721609,4863363.035296995,1218.5702612910245
66,3700.0,1304.8372239040473,4827897.728444975,1218.5702612910245
67,3700.0,1296.210527642745,4795978.952278157,1218.5702612910245
68,3700.0,1288.446501007573,4767252.05372802,1218.5702612910245
69,3700.0,1281.4588770359182,4741397.845032898,1218.5702612910245
70,3700.0,1275.1700154614289,4718129.057207287,1218.5702612910245
71,3700.0,1269.5100400443885,4697187.148164237,1218.5702612910245
72,3700.0,1264.416062169052,4678339.430025493,1218.5702612910245
73,3700.0,1259.8314820812493,4661376.483700623,1218.5702612910245
74,3700.0,1255.7053600022268,4646109.832008239,1218.5702612910245
75,3700.0,1251.9918501311065,4632369.845485094,1218.5702612910245
76,3700.0,1248.6496912470984,4620003.857614264,1218.5702612910245
77,3700.0,1245.641748251491,4608874.468530517,1218.5702612910245
78,3700.0,1242.9345995554445,4598858.018355144,1218.5702612910245
79,3700.0,1240.4981657290025,4589843.2131973095,1218.5702612910245
80,3700.0,1238.3053752852045,4581729.888555257,1218.5702612910245
81,3700.0,1236.3318638857866,4574427.896377411,1218.5702612910245
82,3700.0,1234.5557036263103,4567856.103417348,1218.5702612910245
83,3700.0,1232.9571593927817,4561941.489753292,1218.5702612910245
84,3700.0,1231.518469582606,4556618.337455642,1218.5702612910245
85,3700.0,1230.2236487534478,4551827.500387757,1218.5702612910245
86,3700.0,1229.0583100072056,4547515.7470266605,1218.5702612910245
87,3700.0,1228.0095051355877,4543635.169001674,1218.5702612910245
88,3700.0,1227.0655807511312,4540142.6487791855,1218.5702612910245
89,3700.0,1226.2160488051204,4536999.380578945,1218.5702612910245
90,3700.0,1225.4514700537109,4534170.4391987305,1218.5702612910245
91,3700.0,1224.7633491774425,4531624.391956537,1218.5702612910245
92,3700.0,1224.1440403888005,4529332.949438562,1218.5702612910245
93,3700.0,1223.5866624790228,4527270.651172385,1218.5702612910245
94,3700.0,1223.085022360223,4525414.582732826,1218.5702612910245
95,3700.0,1222.6335462533032,4523744.121137221,1218.5702612910245
96,3700.0,1222.227217757075,4522240.705701178,1218.5702612910245
97,3700.0,1221.8615221104703,4520887.63180874,1218.5702612910245
98,3700.0,1221.5323960285257,4519669.865305545,1218.5702612910245
99,3700.0,1221.2361825547755,4518573.875452669,1218.5702612910245
100,3489.757523660223,1840.7952636973075,6423929.121005783,7416.826993980096
101,3299.3500908617893,2959.7474908480262,9765243.15285739,13030.317535204493
102,3299.3500908617893,3966.804495283673,13087876.771945141,13030.317535204493
103,3299.3500908617893,4873.155799275755,16078247.029124118,13030.317535204493
104,3299.3500908617893,5688.871972868629,18769580.2605852,13030.317535204493
105,3299.3500908617893,6423.016529102216,21191780.16890017,13030.317535204493
106,3299.3500908617893,7083.746629712444,23371760.086383644,13030.317535204493
107,3299.3500908617893,7678.403720261649,25333742.01211877,13030.317535204493
108,3299.3500908617893,8213.595101755933,27099525.745280385,13030.317535204493
109,3299.3500908617893,8695.267345100789,28688731.105125837,13030.317535204493
110,3299.3500908617893,9128.772364111159,30119015.928986743,13030.317535204493
111,3299.3500908617893,9518.926881220492,31406272.27046156,13030.317535204493
112,3299.3500908617893,9870.065946618892,32564802.97778889,13030.317535204493
