step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,228.74494334736664
1,3700.0,82417.87449433474,304946135.6290385,228.74494334736664
2,3700.0,74198.961539236,274536157.6951732,228.74494334736664
3,3700.0,66801.93987964714,247167177.5546944,228.74494334736664
4,3700.0,60144.62038601716,222535095.4282635,228.74494334736664
5,3700.0,54153.03284175018,200366221.51447567,228.74494334736664
6,3700.0,48760.6040519099,180414234.99206662,228.74494334736664
7,3700.0,43907.41814105364,162457447.12189847,228.74494334736664
8,3700.0,39539.55082128301,146296338.03874713,228.74494334736664
9,3700.0,35608.47023348945,131751339.86391096,228.74494334736664
10,3700.0,32070.497704475238,118660841.50655837,228.74494334736664
11,3700.0,28886.32242836245,106879392.98494107,228.74494334736664
12,3700.0,26020.56467986094,96276089.31548548,228.74494334736664
13,3700.0,23441.382706209584,86733116.01297547,228.74494334736664
14,3700.0,21120.118929923363,78144440.04071644,228.74494334736664
15,3700.0,19030.981531265763,70414631.66568333,228.74494334736664
16,3700.0,17150.75787247392,63457804.12815351,228.74494334736664
17,3700.0,15458.556579561266,57196659.34437668,228.74494334736664
18,3700.0,13935.575415939875,51561629.03897753,228.74494334736664
19,3700.0,12564.892368680623,46490101.76411831,228.74494334736664
20,3700.0,11331.277626147297,41925727.216745,228.74494334736664
21,3700.0,10221.024357867303,37817790.12410902,228.74494334736664
22,3700.0,9221.796416415309,34120646.74073664,228.74494334736664
23,3700.0,8322.491269108516,30793217.695701506,228.74494334736664
24,3700.0,7513.116636532401,27798531.555169884,228.74494334736664
25,3700.0,6784.679467213897,25103314.02869142,228.74494334736664
26,3700.0,6129.086014827244,22677618.254860803,228.74494334736664
27,3700.0,5539.051907679256,20494492.05841325,228.74494334736664
28,3700.0,5008.021211246067,18529678.481610447,228.74494334736664
29,3700.0,4530.093584456196,16761346.262487927,228.74494334736664
30,3700.0,4099.958720345314,15169847.265277661,228.74494334736664
31,3700.0,3712.837342645519,13737498.16778842,228.74494334736664
32,3700.0,3364.428102715704,12448383.980048105,228.74494334736664
33,3700.0,3050.8597867788703,11288181.21108182,228.74494334736664
34,3700.0,2768.64830243572,10243998.719012164,228.74494334736664
35,3700.0,2514.6579665268846,9304234.476149473,228.74494334736664
36,3700.0,2286.0666642089327,8458446.657573052,228.74494334736664
37,3700.0,2080.3344921227763,7697237.6208542725,228.74494334736664
38,3700.0,1895.1755372452353,7012149.487807371,228.74494334736664
39,3700.0,1728.5324778554484,6395570.168065159,228.74494334736664
40,3700.0,1578.5537244046402,5840648.7802971685,228.74494334736664
41,3700.0,1443.5728462989127,5341219.531305977,228.74494334736664
42,3700.0,1322.090056003758,4891733.207213905,228.74494334736664
43,3700.0,1212.755544738119,4487195.51553104,228.74494334736664
44,3700.0,1114.3544845990436,4123111.5930164615,228.74494334736664
45,3700.0,1025.793530473876,3795436.062753341,228.74494334736664
46,3700.0,946.088671761225,3500528.0855165324,228.74494334736664
47,3700.0,874.3542989198392,3235110.906003405,228.74494334736664
48,3700.0,809.7933633625919,2996235.44444159,228.74494334736664
49,3700.0,751.6885213610693,2781247.5290359566,228.74494334736664
50,3700.0,699.3941635596991,2587758.405170887,228.74494334736664
51,3700.0,652.3292415384659,2413618.1936923238,228.74494334736664
52,3700.0,609.970811719356,2256892.003361617,228.74494334736664
53,3700.0,571.8482248821571,2115838.432063981,228.74494334736664
54,3700.0,537.537896728678,1988890.2178961085,228.74494334736664
55,3700.0,506.65860139054683,1874636.8251450232,228.74494334736664
56,3700.0,478.86723558622884,1771808.7716690467,228.74494334736664
57,3700.0,453.85500636234264,1679263.5235406677,228.74494334736664
58,3700.0,431.344000060845,1595972.8002251266,228.74494334736664
59,3700.0,411.0840943894972,1521011.1492411396,228.74494334736664
60,3700.0,392.8501792852841,1453545.6633555512,228.74494334736664
61,3700.0,376.43965569149236,1392826.7260585218,228.74494334736664
62,3700.0,361.6701844570798,1338179.6824911954,228.74494334736664
63,3700.0,348.3776603461085,1288997.3432806013,228.74494334736664
64,3700.0,336.41438864623433,1244733.237991067,228.74494334736664
65,3700.0,325.6474441163476,1204895.543230486,228.74494334736664
66,3700.0,315.95719403944946,1169041.617945963,228.74494334736664
67,3700.0,307.2359689702412,1136773.0851898924,228.74494334736664
68,3700.0,299.38686640795373,1107731.4057094287,228.74494334736664
69,3700.0,292.322674101895,1081593.8941770117,228.74494334736664
70,3700.0,285.9649010264422,1058070.133797836,228.74494334736664
71,3700.0,280.2429052585346,1036898.749456578,228.74494334736664
72,3700.0,275.0931090674178,1017844.5035494459,228.74494334736664
73,3700.0,270.4582924954127,1000695.6822330271,228.74494334736664
74,3700.0,266.2869575806081,985261.74304825,228.74494334736664
75,3700.0,262.5327561572839,971371.1977819506,228.74494334736664
76,3700.0,259.1539748762922,958869.707042281,228.74494334736664
77,3700.0,256.1130717233996,947618.3653765786,228.74494334736664
78,3700.0,253.37625888579632,937492.1578774464,228.74494334736664
79,3700.0,250.91312733195335,928378.5711282274,228.74494334736664
80,3700.0,248.69630893349466,920176.3430539302,228.74494334736664
81,3700.0,246.70117237488185,912794.3377870629,228.74494334736664
82,3700.0,244.90554947213033,906150.5330468823,228.74494334736664
83,3700.0,243.28948885965397,900171.1087807197,228.74494334736664
84,3700.0,241.83503430842524,894789.6269411733,228.74494334736664
85,3700.0,240.52602521231938,889946.2932855817,228.74494334736664
86,3700.0,239.3479170258241,885587.2929955492,228.74494334736664
87,3700.0,238.28761965797835,881664.19273452,228.74494334736664
88,3700.0,237.33335202691717,878133.4024995936,228.74494334736664
89,3700.0,236.47451115896212,874955.6912881598,228.74494334736664
90,3700.0,235.70155437780258,872095.7511978695,228.74494334736664
91,3700.0,235.005893274759,869521.8051166083,228.74494334736664
92,3700.0,234.37979828201975,867205.253643473,228.74494334736664
93,3700.0,233.81631278855443,865120.3573176514,228.74494334736664
94,3700.0,233.30917584443566,863243.9506244119,228.74494334736664
95,3700.0,232.85275259472877,861555.1846004964,228.74494334736664
96,3700.0,232.44197166999257,860035.2951789725,228.74494334736664
97,3700.0,232.07226883772998,858667.3946996009,228.74494334736664
98,3700.0,231.73953628869364,857436.2842681665,228.74494334736664
99,3700.0,231.44007699456094,856328.2848798755,228.74494334736664
100,3700.0,231.17056362984152,855331.0854304136,228.74494334736664
