step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,42132.27035124332
1,3700.0,86608.22703512434,320450440.02996004,42132.27035124332
2,3700.0,82160.63136673623,303994336.05692405,42132.27035124332
3,3700.0,78157.79526518694,289183842.4811917,42132.27035124332
4,3700.0,74555.24277379258,275854398.26303256,42132.27035124332
5,3700.0,71312.94553153765,263857898.46668932,42132.27035124332
6,3700.0,68394.87801350822,253061048.64998043,42132.27035124332
7,3700.0,65768.61724728173,243343883.8149424,42132.27035124332
8,3700.0,63404.98255767789,234598435.4634082,42132.27035124332
9,3700.0,61277.71133703443,226727531.9470274,42132.27035124332
10,3700.0,59363.16723845532,219643718.78228468,42132.27035124332
11,3700.0,57640.07754973412,213268286.93401623,42132.27035124332
12,3700.0,56089.29682988504,207530398.27057466,42132.27035124332
13,3700.0,54693.59418202087,202366298.4734772,42132.27035124332
14,3700.0,53437.46179894311,197718608.6560895,42132.27035124332
15,3700.0,52306.94265417314,193535687.82044062,42132.27035124332
16,3700.0,51289.475423880154,189771059.06835657,42132.27035124332
17,3700.0,50373.75491661647,186382893.19148093,42132.27035124332
18,3700.0,49549.60646007915,183333543.90229285,42132.27035124332
19,3700.0,48807.87284919557,180589129.5420236,42132.27035124332
20,3700.0,48140.31259940034,178119156.61778125,42132.27035124332
21,3700.0,47539.50837458464,175896180.98596317,42132.27035124332
22,3700.0,46998.78457225051,173895502.91732687,42132.27035124332
23,3700.0,46512.13315014979,172094892.65555423,42132.27035124332
24,3700.0,46074.146870259145,170474343.41995883,42132.27035124332
25,3700.0,45679.95921835756,169015849.10792297,42132.27035124332
26,3700.0,45325.19033164613,167703204.2270907,42132.27035124332
27,3700.0,45005.89833360585,166521823.83434165,42132.27035124332
28,3700.0,44718.5355353696,165458581.4808675,42132.27035124332
29,3700.0,44459.90901695697,164501663.36274078,42132.27035124332
30,3700.0,44227.1451503856,163640437.05642673,42132.27035124332
31,3700.0,44017.65767047137,162865333.38074407,42132.27035124332
32,3700.0,43829.11893854857,162167740.07262972,42132.27035124332
33,3700.0,43659.43407981805,161539906.09532678,42132.27035124332
34,3700.0,43506.717706960575,160974855.51575413,42132.27035124332
35,3700.0,43369.27297138885,160466309.99413875,42132.27035124332
36,3700.0,43245.5727093743,160008619.0246849,42132.27035124332
37,3700.0,43134.2424735612,159596697.15217644,42132.27035124332
38,3700.0,43034.04526132941,159225967.46691883,42132.27035124332
39,3700.0,42943.8677703208,158892310.75018698,42132.27035124332
40,3700.0,42862.70802841305,158592019.70512828,42132.27035124332
41,3700.0,42789.664260696074,158321757.76457548,42132.27035124332
42,3700.0,42723.9248697508,158078522.01807797,42132.27035124332
43,3700.0,42664.75941790005,157859609.84623018,42132.27035124332
44,3700.0,42611.51051123438,157662588.8915672,42132.27035124332
45,3700.0,42563.58649523527,157485270.0323705,42132.27035124332
46,3700.0,42520.45488083608,157325683.05909348,42132.27035124332
47,3700.0,42481.6364278768,157182054.78314418,42132.27035124332
48,3700.0,42446.69982021346,157052789.33478978,42132.27035124332
49,3700.0,42415.256873316444,156936450.43127084,42132.27035124332
50,3700.0,42386.95822110913,156831745.41810378,42132.27035124332
51,3700.0,42361.48943412255,156737510.90625343,42132.27035124332
52,3700.0,42338.56752583463,156652699.84558815,42132.27035124332
53,3700.0,42317.9378083755,156576369.89098936,42132.27035124332
54,3700.0,42299.371062662285,156507672.93185046,42132.27035124332
55,3700.0,42282.66099152039,156445845.66862544,42132.27035124332
56,3700.0,42267.621927492684,156390201.13172293,42132.27035124332
57,3700.0,42254.08676986775,156340121.04851067,42132.27035124332
58,3700.0,42241.9051280053,156295048.9736196,42132.27035124332
59,3700.0,42230.94165032911,156254484.10621768,42132.27035124332
60,3700.0,42221.07452042053,156217975.72555596,42132.27035124332
61,3700.0,42212.19410350281,156185118.1829604,42132.27035124332
62,3700.0,42204.20172827686,156155546.39462438,42132.27035124332
63,3700.0,42197.0085905735,156128931.78512195,42132.27035124332
64,3700.0,42190.534766640485,156104978.6365698,42132.27035124332
65,3700.0,42184.70832510077,156083420.80287287,42132.27035124332
66,3700.0,42179.46452771503,156064018.7525456,42132.27035124332
67,3700.0,42174.74511006786,156046556.9072511,42132.27035124332
68,3700.0,42170.497634185405,156030841.246486,42132.27035124332
69,3700.0,42166.674905891196,156016697.1517974,42132.27035124332
70,3700.0,42163.23445042641,156003967.4665777,42132.27035124332
71,3700.0,42160.1380405081,155992510.74987996,42132.27035124332
72,3700.0,42157.351271581625,155982199.704852,42132.27035124332
73,3700.0,42154.843179547795,155972919.76432684,42132.27035124332
74,3700.0,42152.58589671735,155964567.8178542,42132.27035124332
75,3700.0,42150.55434216995,155957051.0660288,42132.27035124332
76,3700.0,42148.72594307728,155950285.98938593,42132.27035124332
77,3700.0,42147.08038389389,155944197.42040738,42132.27035124332
78,3700.0,42145.59938062883,155938717.70832667,42132.27035124332
79,3700.0,42144.26647769028,155933785.96745405,42132.27035124332
80,3700.0,42143.066865045585,155929347.40066865,42132.27035124332
81,3700.0,42141.98721366536,155925352.69056183,42132.27035124332
82,3700.0,42141.01552742315,155921757.45146567,42132.27035124332
83,3700.0,42140.14100980517,155918521.73627913,42132.27035124332
84,3700.0,42139.35394394898,155915609.59261122,42132.27035124332
85,3700.0,42138.645584678416,155912988.66331014,42132.27035124332
86,3700.0,42138.008061334906,155910629.82693914,42132.27035124332
87,3700.0,42137.43429032575,155908506.87420526,42132.27035124332
88,3700.0,42136.91789641751,155906596.21674478,42132.27035124332
89,3700.0,42136.45314190009,155904876.62503034,42132.27035124332
90,3700.0,42136.034862834415,155903328.99248734,42132.27035124332
91,3700.0,42135.65841167531,155901936.12319863,42132.27035124332
92,3700.0,42135.31960563211,155900682.5408388,42132.27035124332
93,3700.0,42135.01468019323,155899554.31671494,42132.27035124332
94,3700.0,42134.740247298236,155898538.91500348,42132.27035124332
95,3700.0,42134.493257692746,155897625.05346316,42132.27035124332
96,3700.0,42134.27096704781,155896802.5780769,42132.27035124332
97,3700.0,42134.07090546736,155896062.35022923,42132.27035124332
98,3700.0,42133.890850044954,155895396.14516634,42132.27035124332
99,3700.0,42133.72880016479,155894796.56060973,42132.27035124332
100,3700.0,42133.58295527264,155894256.93450877,42132.27035124332
