step,p_values,n_values,R_values,f_values
0,3700.0,91550.0,338735000.0,1308.6459687354654
1,3700.0,82525.86459687355,305345699.00843215,1308.6459687354654
2,3700.0,74404.14273405974,275295328.11602104,1308.6459687354654
3,3700.0,67094.59305752732,248249994.3128511,1308.6459687354654
4,3700.0,60515.998348648136,223909193.8899981,1308.6459687354654
5,3700.0,54595.26311065687,202002473.50943044,1308.6459687354654
6,3700.0,49266.60139646473,182286425.1669195,1308.6459687354654
7,3700.0,44470.8058536918,164541981.65865967,1308.6459687354654
8,3700.0,40154.58986519617,148571982.50122583,1308.6459687354654
9,3700.0,36269.995475550095,134198983.25953536,1308.6459687354654
10,3700.0,32773.86052486863,121263283.94201393,1308.6459687354654
11,3700.0,29627.33906925531,109621154.55624466,1308.6459687354654
12,3700.0,26795.469759203326,99143238.1090523,1308.6459687354654
13,3700.0,24246.78738015654,89713113.3065792,1308.6459687354654
14,3700.0,21952.973239014435,81226000.98435341,1308.6459687354654
15,3700.0,19888.54051198654,73587599.8943502,1308.6459687354654
16,3700.0,18030.551057661432,66713038.9133473,1308.6459687354654
17,3700.0,16358.360548768836,60525934.0304447,1308.6459687354654
18,3700.0,14853.3890907655,54957539.635832354,1308.6459687354654
19,3700.0,13498.914778562495,49945984.680681236,1308.6459687354654
20,3700.0,12279.887897579792,45435585.22104523,1308.6459687354654
21,3700.0,11182.76370469536,41376225.70737284,1308.6459687354654
22,3700.0,10195.35193109937,37722802.14506767,1308.6459687354654
23,3700.0,9306.68133486298,34434720.93899303,1308.6459687354654
24,3700.0,8506.877798250229,31475447.853525847,1308.6459687354654
25,3700.0,7787.054615298753,28812102.076605383,1308.6459687354654
26,3700.0,7139.213750642424,26415090.87737697,1308.6459687354654
27,3700.0,6556.1569724517285,24257780.798071396,1308.6459687354654
28,3700.0,6031.405872080102,22316201.72669638,1308.6459687354654
29,3700.0,5559.129881745638,20568780.56245886,1308.6459687354654
30,3700.0,5134.081490444621,18996101.514645096,1308.6459687354654
31,3700.0,4751.537938273705,17580690.37161271,1308.6459687354654
32,3700.0,4407.2487413198805,16306820.342883557,1308.6459687354654
33,3700.0,4097.388464061439,15160337.317027323,1308.6459687354654
34,3700.0,3818.5142145288414,14128502.593756713,1308.6459687354654
35,3700.0,3567.527389949504,13199851.342813166,1308.6459687354654
36,3700.0,3341.6392478281,12364065.21696397,1308.6459687354654
37,3700.0,3138.3399199188366,11611857.703699695,1308.6459687354654
38,3700.0,2955.3705248004994,10934870.941761848,1308.6459687354654
39,3700.0,2790.698069193996,10325582.856017785,1308.6459687354654
40,3700.0,2642.492859148143,9777223.57884813,1308.6459687354654
41,3700.0,2509.108170106875,9283700.229395438,1308.6459687354654
42,3700.0,2389.061949969734,8839529.214888016,1308.6459687354654
43,3700.0,2281.020351846307,8439775.301831337,1308.6459687354654
44,3700.0,2183.782913535223,8079996.780080325,1308.6459687354654
45,3700.0,2096.2692190552475,7756196.110504416,1308.6459687354654
46,3700.0,2017.5068940232693,7464775.507886097,1308.6459687354654
47,3700.0,1946.620801494489,7202496.965529609,1308.6459687354654
48,3700.0,1882.8233182185863,6966446.277408769,1308.6459687354654
